Model,Best Score,Best Parameters,Best Estimator
LogisticRegression,0.6706788282217893,"{'C': 92.74523606367225, 'solver': 'lbfgs'}","LogisticRegression(C=92.74523606367225, max_iter=1000)"
KNeighborsClassifier,0.735205277207921,"{'n_neighbors': 30, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=30, weights='distance')"
DecisionTreeClassifier,0.6779662120210699,"{'max_depth': 15, 'min_samples_split': 3}","DecisionTreeClassifier(max_depth=15, min_samples_split=3, random_state=42)"
AdaBoostClassifier,0.6674686984088835,"{'n_estimators': 400, 'learning_rate': 0.08057840201005566}","AdaBoostClassifier(estimator=DecisionTreeClassifier(random_state=42),
                   learning_rate=0.08057840201005566, n_estimators=400,
                   random_state=42)"
RandomForestClassifier,0.7830152030168553,"{'n_estimators': 417, 'max_depth': 24, 'min_samples_split': 2, 'min_samples_leaf': 2}","RandomForestClassifier(max_depth=24, min_samples_leaf=2, n_estimators=417,
                       random_state=42)"
GradientBoostingClassifier,0.7822790147724055,"{'n_estimators': 364, 'learning_rate': 0.027378582019044452, 'max_depth': 18}","GradientBoostingClassifier(learning_rate=0.027378582019044452, max_depth=18,
                           n_estimators=364, random_state=42)"
SVC,0.688867227176877,"{'C': 4.796943638740048, 'kernel': 'rbf'}",SVC(C=4.796943638740048)
MLPClassifier,0.7326654206115542,"{'hidden_layer_sizes': (50, 50, 50), 'activation': 'tanh', 'alpha': 0.0016550657574483888, 'learning_rate_init': 0.005092509452768045, 'max_iter': 255}","MLPClassifier(activation='tanh', alpha=0.0016550657574483888,
              hidden_layer_sizes=(50, 50, 50),
              learning_rate_init=0.005092509452768045, max_iter=255,
              random_state=42)"
XGBClassifier,0.7985282672823981,"{'n_estimators': 588, 'learning_rate': 0.09736173248740738, 'max_depth': 25, 'min_child_weight': 2}","XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.09736173248740738,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=25, max_leaves=None,
              min_child_weight=2, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=588, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)"
LGBMClassifier,0.8046792516802431,"{'n_estimators': 939, 'learning_rate': 0.06767043690171617, 'num_leaves': 232, 'boosting_type': 'gbdt'}","LGBMClassifier(device='gpu', learning_rate=0.06767043690171617,
               n_estimators=939, num_leaves=232, random_state=42)"
CatBoostClassifier,0.7168160931379701,"{'iterations': 526, 'learning_rate': 0.005872551109295629, 'depth': 14}",<catboost.core.CatBoostClassifier object at 0x7fb68c3d5d30>
